text,label
Các triệu chứng khởi phát trong thời kỳ phát triển sớm,Khác
Bệnh nhân mắc Hội chứng Fregoli thường có cảm giác gì?,Hội chứng Fregoli
"Tôi xin nhắc lại một vài đặc điểm của ADHD:
 • ADHD là bệnh lý thường gặp ở trẻ em chiếm tỉ lệ 35% (tỷ lệ tại Mỹ)
 • Rối loạn này thường khởi phát sớm (5 năm đầu tiên của cuộc đời).
 • Nam>nữ
 • Biểu hiện như:
 – Hoạt động quá mức
 – Khó kiểm soát hành vi, bồng bột
 – Kém khả năng tập trung chú ý
 – Gây nhiều khó khăn trong sinh hoạt, học tập và trong các mối quan hệ xã hội.
 • Các rối loạn nhiều hay ít tùy thuộc vào từng trẻ và môi trường xung quanh.
 • Xảy ra ở mọi nơi (ở nhà, trường học, bệnh viện, nơi công cộng…),
 • Trong mọi hoàn cảnh, trong tất cả các mối quan hệ.
 • Thời gian kéo dài ít nhất 6 tháng.",Rối loạn tăng động giảm chú ý (ADHD)
 Các tình huống sợ xã hội bao gồm các tình huống gì ?,Rối loạn lo âu xã hội (SAD)
"nếu chúng ta đi ngủ, các cơ quan trong cơ thể sẽ hoạt đồng như thế nào",Rối loạn giấc ngủ (Hypersomnia)
"Để đánh giá một tình trạng có phải rối loạn tâm thần hay không cần thỏa mãn các yếu tố sau:
 
  Sự lệch lạc: cử chỉ, hành vi, nhận thức cần thể hiện tính chất lạ lùng, khác biệt so với những gì đa số mọi người sống cùng thời và cùng một nơi chốn vẫn cho là bình thường
 
  Sự đau buồn: hành vi cần gây ra sự đau khổ cho cá nhân
 
  Sự mất năng lực: mất khả năng tự chăm sóc bản thân, lao động, học tập.
 
  Sự nguy hại: hành vi cần gây thiệt hại hoặc hiểm nguy cho chính mình hoặc những người xung quanh.",Hoang tưởng
"Sự nguy hiểm của hội chứng này là theo thời gian, người bệnh không chỉ ghen tuông với bạn tình mà còn có lòng đố kỵ với tất cả những người xung quanh.",Hội chứng Othello
"Trẻ mới biết đi cho đến 3 tuổi sẽ có tổng thời gian ngủ từ 12 đến 14 giờ mỗi ngày. Giấc ngủ trưa của trẻ giảm so với trẻ sơ sinh và thường chiếm khoảng 1 – 3 giờ ngủ hàng ngày. Việc trẻ có hai giấc ngủ ngắn mỗi ngày (có thể vào buổi sáng và chiều) là bình thường khi bắt đầu giai đoạn này, nhưng không có gì lạ khi trẻ mới biết đi chỉ chợp mắt vào buổi chiều. Trẻ thường đi ngủ vào khoảng từ 7 giờ tối đến 9 giờ tối và thức dậy trong khoảng từ 6 – 8 giờ sáng hôm sau.",Rối loạn giấc ngủ (Hypersomnia)
"Ông Nguyễn Văn Tú, 45 tuổi, bắt đầu nghe thấy giọng nói của người bạn thân đã mất khi ở nhà một mình. Giọng nói này không chỉ trích mà thường xuyên nhắc nhở và khuyên bảo ông. Bác sĩ nên làm gì để giúp ông Tú?",Ảo Thanh
"Kẻ bắt cóc có thể là một tội phạm gần đây, thiếu kinh nghiệm hay có thể đồng cảm với mọi người. Nói cách khác kẻ bắt cóc không bị rối loạn nhân cách chống đối xã hội. Và một lý do khác nữa đó là kẻ bắt cóc nghĩ rằng hắn sẽ không còn sống sót sau vụ bắt cóc này.",Hội chứng Lima
"Những lo lắng và suy nghĩ lung tung không chủ đích (hay còn gọi là các suy nghĩ tự động) là một trong những nguyên nhân khiến nhiều người không thể ngủ ngon, đặc biệt là khó vào giấc ngủ. Nhiều người có xu hướng thức dậy vào nửa đêm và không thể ngủ lại vì tâm trí bị lấp đầy bởi những lo lắng. Đây đều là dấu hiệu cho thấy bạn đang bị căng thẳng và lo lắng quá mức.",Rối loạn lo âu lan tỏa (GAD)
"Hiện tưởng ảo giác trong TTPLTTX liên quan đến các yếu tố hình ảnh, mùi vị, cảm giác, mùi hương. Trong đó ảo thanh là dạng phổ biến nhất của ảo giác mà người bệnh thường gặp phải.ICD cũng giải thích rõ hơn về hiện tượng này chính là người bệnh thường xuyên nghe thấy những âm thanh vang lên trong đầu đang thảo luận với nhau về bệnh nhân hoặc những gì xung quanh. Đôi khi những âm thanh này cũng xuất phát từ các cơ quan trong cơ thể, chẳng hạn nghe thấy tai trái nói chuyện với tay phải.Các ảo giác thường dai dẳng và có thể xuất hiện bất cứ loại nào. Ảo giác cũng có thể kèm theo những hoang tưởng thoáng qua hoặc chưa hoàn toàn hoàn thiện, thường sẽ không có nội dung cảm xúc rõ ràng. Các triệu chứng này có thể kéo dài trong vài ngày, vài tháng, thậm chí là vài năm.",Tâm thần phân liệt
 Các tiêu chuẩn để nhận định một người mắc chứng rối loạn hoang tưởng là gì ?,Hoang tưởng
"Các triệu chứng bao gồm:
 1. Những thay đổi rõ rệt về tính cách và hành vi:
   Mất kiềm chế, chẳng hạn như hành vi xã hội không phù hợp, bốc đồng hoặc thiếu tế nhị
   Sự thờ ơ, mất sự đồng cảm hoặc thờ ơ với người khác
   Hành vi cưỡng bức hoặc lặp đi lặp lại
   Thay đổi đáng kể về tâm trạng, chẳng hạn như trầm cảm, khó chịu hoặc hưng phấn
 2. Suy giảm nhận thức nặng:
   Khó khăn đáng kể với ngôn ngữ, bao gồm sự lưu loát, tìm từ và hiểu
   Suy giảm khả năng giải quyết vấn đề, ra quyết định và lập kế hoạch
   Khiếm khuyết về nhận thức xã hội và khả năng diễn giải các tín hiệu xã hội
 3. Suy giảm chức năng:
   Khó thực hiện các hoạt động hàng ngày và duy trì sự độc lập
   Không có khả năng quản lý tài chính, công việc gia đình hoặc chăm sóc cá nhân
   Ảnh hưởng lớn đến công việc, đời sống xã hội và gia đình",Rối loạn nhận thức thần kinh
Thân hình như thế nào có thể dẫn tới chứng ăn vô độ ở phụ nữ?,Chứng háu ăn tâm thần
"Để ngăn ngừa từ sớm cho bản thân trước vòng luẩn quẩn cơn nghiện mạng xã hội, bạn cần:
  Thiết lập thói quen sử dụng mạng xã hội lành mạnh từ sớm. Tìm hiểu về các tình trạng rối loạn sức khỏe tinh thần và các hiệu ứng trong tâm lý học. Ngăn chặn những phiền nhiễu gây mất tập trung như tắt thông báo, xoá ứng dụng trong khi đang làm việc và học tập.",Nghiện mạng xã hội
