text,labels
hai đứa chia tay tao nhảy vào,"[0, 1]"
tẩy được bao nhiêu mà hô hào gớm thế,"[25, 26]"
phim này rất hay,"[2, 8]"
ngỗng chuyên gia mổ háng người ta đứng không làm gì nó cũng sáp tới tấp chạy muốn tuột quần,"[25, 23]"
thấy bảo sang năm được tủi nhưng mà năm nay vẫn chưa có người êu,[21]
thật là đau lòng nam mô anh di đà phật,"[22, 21]"
hoàngg hiếu ông bán đớ cho lão phải không,[0]
không có nhan sắc mik lmj người ta cx thấy ngứa mắt đến bố mẹ còn chê bai mik thì còn ai thương mik ngoại trừ mik ra nữa,"[20, 21]"
per hẳn là hôm đi chợ bông chắc sẽ có nhìu đứa gét,[0]
buồn cho 1 đất nước,[21]
mấy lần mình uống cũng tí thì hóc trân châu buồn,[16]
anh quay phim giọng hơi cute nhỉ,[13]
chị giang luôn ra những video thật đúng thời điểmmm em đang cảm thấy siêu tiêu cực vì kì thi sắp tới thanks chị 3,"[9, 10]"
khổ thật nam mô anh di đà phật nam mô anh di đà phật nam mô anh di đà phật cầu phật trời phù hộ cho 2vkck luôn luôn mạnh khỏe bình an,"[4, 6]"
biết đâu nó không thích bạn mà chỉ tiếp cận bạn vì đã lỡ yêu thằng bạn thân của bạn,[23]
không ngại mà sợ nói ra cái người ta ngại dùm,"[17, 19]"
yehhh,"[0, 1]"
chính xác là con gái xinh auto đáng yêu cười,[2]
cũng sợ mấy con ngoe nguẩy như giòi sợ hãi,"[16, 17]"
một bộ phim quá suất sắc,[2]
được chương trình hay bổ ích cứ thế mà phát huy,[11]
bếp dầu nhiều nhà vẫn dùng,[27]
con ước mình cũng có 1 tình yêu đẹp như ông bà vậy 3,[2]
có lần ba tao mua bánh kem sinh nhật cho tao lúc đấy tao 13t nhưng khi ba tao mua về thì lại là 15t,[21]
châu hải yến chính nó sợ hãi,"[13, 1]"
hẳn là con số đẹp vui vui vui,[2]
suy buồn,[21]
ấm hơn cả người yêu vui,[2]
sống là khôn lỏi quá thì trách ai,"[12, 25, 26]"
vâng quá đúng,[11]
cảm ơn bạn nhìu lắm đúng như mình hiện tại,[9]
công nhận sáng tạo thật đấy,[2]
còn đồng nghiệp hãm lờ thì,[23]
ngày xưa mình cũng khá tự ti với bản thân và gòi mình gặp anh ấy mình không quên anh nhưng anh đã ăn ủi mình rất nhìu giờ thì mình hết tự tí gòi các bạn cũng z nha ai cũng xinh hết á yêu thương,"[3, 5, 6, 9]"
